road_corridor,slope_deg,elevation_m,rainfall_1h_mm,rainfall_24h_mm,rainfall_72h_mm,soil_clay_percent,distance_to_river_m,vegetation_ndvi,historical_incidents,road_quality,p_landslide_true,landslide_occurred,p_flood_true,flood_occurred,inundation_depth_cm,risk_multiplier
NH-27 (East-West Corridor),33.1,1944.1,22.1,131.0,335.8,45.0,1059.2,0.766,1,1,0.8475,1,0.2745,0,0.0,3.74
NH-06 (Guwahati-Shillong),26.9,857.0,19.3,97.2,242.6,38.2,2297.5,0.446,1,2,0.6972,1,0.1448,0,0.0,3.13
NH-37 (Silchar-Imphal),40.5,1843.1,24.6,132.6,442.5,33.4,4783.9,0.567,3,5,0.9165,1,0.1965,1,27.3,3.42
NH-37 (Silchar-Imphal),54.2,711.2,0.3,0.8,1.1,54.1,1168.8,0.502,2,2,0.3763,0,0.0312,0,0.0,2.31
NH-15 (North Bank Brahmaputra),24.1,988.9,1.9,4.5,6.9,49.0,420.9,0.297,5,2,0.084,0,0.0675,0,0.0,1.7
NH-37 (Silchar-Imphal),41.8,970.9,1.9,2.0,3.3,42.9,1844.6,0.746,5,2,0.3536,1,0.0268,0,0.0,2.25
NH-15 (North Bank Brahmaputra),42.2,2160.3,0.5,0.8,1.6,30.3,190.4,0.675,2,5,0.2557,0,0.1019,0,0.0,1.66
NH-06 (Guwahati-Shillong),46.5,1934.6,41.8,234.3,750.0,41.6,360.2,0.696,1,4,0.922,1,0.4996,1,114.5,4.35
NH-15 (North Bank Brahmaputra),20.7,1647.2,4.0,9.8,14.0,36.3,1971.4,0.657,2,5,0.0332,0,0.0233,1,5.0,1.13
NH-37 (Silchar-Imphal),45.8,1695.1,0.4,0.6,0.9,25.0,386.8,0.413,5,5,0.3612,0,0.0589,0,0.0,1.85
NH-37 (Silchar-Imphal),54.1,1389.8,10.6,78.8,273.7,33.0,349.4,0.417,4,5,0.944,1,0.1798,0,0.0,3.25
NH-15 (North Bank Brahmaputra),22.7,2102.1,24.3,169.2,415.8,23.5,268.9,0.631,3,3,0.5865,1,0.5538,0,0.0,3.14
NH-27 (East-West Corridor),25.2,1268.1,0.1,0.2,0.2,35.0,1717.8,0.828,6,3,0.0721,0,0.0251,0,0.0,1.48
NH-10 (Siliguri-Gangtok),56.8,1054.0,7.8,9.3,15.1,43.8,704.6,0.619,5,4,0.4251,0,0.0411,0,0.0,2.13
Guwahati-Jalukbari-Khanapara Urban,22.8,651.6,31.1,227.8,660.7,16.5,1048.9,0.726,3,2,0.5855,0,0.3039,1,63.3,3.51
NH-15 (North Bank Brahmaputra),51.7,1804.5,1.3,2.5,3.7,45.6,368.6,0.455,5,1,0.4542,1,0.0784,0,0.0,2.68
NH-06 (Guwahati-Shillong),36.2,1708.7,59.6,330.4,629.0,15.8,1285.2,0.748,1,2,0.8685,1,0.284,1,72.8,4.19
Guwahati-Jalukbari-Khanapara Urban,25.6,1061.1,61.5,380.0,750.0,35.7,1291.7,0.474,2,4,0.665,1,0.2691,1,77.8,3.46
NH-37 (Silchar-Imphal),52.4,396.6,0.2,0.5,0.5,37.9,449.9,0.593,5,2,0.421,0,0.0614,0,0.0,2.44
NH-10 (Siliguri-Gangtok),34.1,1902.1,26.4,185.4,577.8,45.4,573.0,0.484,1,4,0.8567,1,0.3894,0,0.0,3.42
NH-27 (East-West Corridor),37.1,371.1,41.7,258.3,611.9,45.4,338.3,0.71,1,4,0.8815,1,0.5158,1,79.9,4.2
NH-27 (East-West Corridor),30.4,1651.8,0.4,0.4,0.6,31.7,3152.7,0.712,3,1,0.133,0,0.0264,0,0.0,1.92
NH-06 (Guwahati-Shillong),40.5,2145.0,23.9,122.5,331.1,17.7,979.9,0.284,7,1,0.9442,1,0.2639,0,0.0,3.94
NH-10 (Siliguri-Gangtok),22.0,1159.7,44.3,213.8,508.6,42.7,2331.1,0.789,3,2,0.5842,0,0.2667,0,0.0,3.0
NH-15 (North Bank Brahmaputra),31.8,784.7,33.0,198.1,461.5,35.4,439.2,0.88,3,3,0.8281,1,0.462,0,0.0,3.58
NH-06 (Guwahati-Shillong),56.7,1654.0,31.9,194.0,467.2,28.3,1368.2,0.486,4,3,0.9509,1,0.2694,0,0.0,3.66
NH-27 (East-West Corridor),26.1,1861.7,2.1,6.2,6.9,24.4,1311.5,0.527,4,3,0.0809,0,0.0274,0,0.0,1.51
NH-37 (Silchar-Imphal),43.2,1360.9,1.8,3.9,4.8,19.8,1091.2,0.773,1,4,0.244,1,0.0278,0,0.0,1.71
NH-06 (Guwahati-Shillong),29.0,2139.0,0.4,0.5,0.8,26.8,2846.7,0.562,3,2,0.1091,0,0.0249,0,0.0,1.71
NH-10 (Siliguri-Gangtok),48.3,445.6,1.8,3.3,5.3,33.3,550.1,0.549,4,4,0.3636,0,0.0468,0,0.0,2.0
NH-15 (North Bank Brahmaputra),20.6,1283.9,0.1,0.1,0.1,34.1,262.1,0.88,5,3,0.0417,0,0.0904,0,0.0,1.48
NH-06 (Guwahati-Shillong),56.7,1679.1,37.2,243.9,514.5,38.3,1041.1,0.306,2,4,0.9436,1,0.2911,1,77.4,4.09
NH-15 (North Bank Brahmaputra),34.5,1945.9,18.4,119.9,371.4,29.5,1195.4,0.408,1,3,0.8628,1,0.2073,1,39.2,3.7
NH-27 (East-West Corridor),25.2,681.6,25.5,196.8,489.9,51.8,834.6,0.625,3,3,0.6858,1,0.3349,1,49.6,3.51
NH-06 (Guwahati-Shillong),18.2,1830.0,15.3,94.5,303.2,34.8,335.4,0.258,3,1,0.5361,0,0.3256,0,0.0,3.1
NH-37 (Silchar-Imphal),22.3,1372.5,25.2,209.2,711.3,31.9,711.7,0.483,2,1,0.595,1,0.3817,0,0.0,3.29
NH-15 (North Bank Brahmaputra),37.4,1083.6,7.9,21.3,38.0,16.9,449.4,0.481,4,3,0.312,1,0.065,0,0.0,2.05
NH-27 (East-West Corridor),29.5,593.7,20.5,131.2,293.5,39.0,596.1,0.723,2,3,0.7708,0,0.3367,1,36.1,3.6
NH-15 (North Bank Brahmaputra),50.6,1950.8,3.0,8.1,11.8,39.1,979.0,0.675,0,1,0.3196,1,0.0365,0,0.0,2.34
NH-06 (Guwahati-Shillong),33.5,641.0,8.0,82.1,176.2,38.3,1243.9,0.247,4,4,0.8589,1,0.078,0,0.0,3.12
Guwahati-Jalukbari-Khanapara Urban,25.7,923.1,77.1,380.0,750.0,50.5,361.4,0.425,4,5,0.7153,1,0.4899,0,0.0,3.06
NH-15 (North Bank Brahmaputra),41.5,886.6,2.6,7.7,10.9,45.5,565.8,0.426,2,3,0.31,0,0.0501,0,0.0,2.03
Guwahati-Jalukbari-Khanapara Urban,45.4,1962.1,26.4,222.2,565.3,49.7,400.9,0.511,3,1,0.9472,1,0.5178,1,96.4,4.87
NH-27 (East-West Corridor),22.2,1594.5,0.1,0.2,0.3,17.4,327.1,0.352,3,4,0.0432,0,0.0703,0,0.0,1.31
NH-37 (Silchar-Imphal),22.2,1823.9,3.6,9.8,18.6,27.7,1373.7,0.631,3,2,0.0491,0,0.0292,0,0.0,1.59
NH-10 (Siliguri-Gangtok),16.6,813.4,20.2,135.1,387.2,27.7,2069.7,0.425,3,4,0.4539,1,0.2027,0,0.0,2.35
NH-37 (Silchar-Imphal),46.7,1506.0,3.4,6.2,7.0,41.3,519.9,0.656,0,3,0.2825,0,0.0534,1,26.6,2.17
NH-06 (Guwahati-Shillong),43.5,1407.7,0.8,1.0,1.9,32.9,1263.1,0.549,6,1,0.3882,1,0.0307,0,0.0,2.48
NH-27 (East-West Corridor),35.4,1890.7,53.4,371.4,750.0,46.1,1968.4,0.375,4,2,0.9141,1,0.2722,0,0.0,3.73
Guwahati-Jalukbari-Khanapara Urban,51.3,2026.3,18.7,93.9,302.5,30.4,1647.3,0.8,2,3,0.9307,1,0.1326,0,0.0,3.48
NH-10 (Siliguri-Gangtok),49.6,372.5,58.2,360.8,750.0,23.9,311.5,0.805,3,4,0.9322,1,0.5245,0,0.0,3.72
NH-27 (East-West Corridor),40.2,1596.9,8.6,79.0,233.6,26.6,2654.2,0.602,1,2,0.897,1,0.0699,0,0.0,3.49
NH-27 (East-West Corridor),52.3,445.9,4.0,4.9,6.5,22.3,528.2,0.507,1,2,0.3266,0,0.0536,0,0.0,2.22
NH-27 (East-West Corridor),23.9,1365.4,3.2,3.5,4.4,22.9,481.5,0.36,3,1,0.0629,0,0.0606,0,0.0,1.8
NH-06 (Guwahati-Shillong),19.8,882.1,57.7,380.0,750.0,23.7,201.6,0.743,1,3,0.4494,1,0.6226,1,122.0,3.58
Guwahati-Jalukbari-Khanapara Urban,26.6,917.5,39.3,248.0,649.0,15.6,682.7,0.698,2,3,0.6715,1,0.3606,0,0.0,3.13
NH-15 (North Bank Brahmaputra),17.5,1003.0,0.1,0.2,0.3,43.6,242.3,0.403,5,5,0.0353,0,0.0882,0,0.0,1.16
Guwahati-Jalukbari-Khanapara Urban,37.8,1499.4,25.0,176.0,507.9,31.0,378.6,0.426,5,4,0.9246,1,0.4726,1,71.7,4.19
Guwahati-Jalukbari-Khanapara Urban,55.3,968.0,20.0,122.3,349.2,15.9,454.9,0.632,3,4,0.9371,1,0.3496,1,59.7,4.01
NH-10 (Siliguri-Gangtok),16.7,1705.5,16.3,105.1,282.4,29.8,1473.7,0.338,5,2,0.5353,1,0.1616,0,0.0,2.79
NH-15 (North Bank Brahmaputra),20.3,1098.4,35.9,184.6,627.1,51.2,1816.7,0.437,3,2,0.576,0,0.2728,0,0.0,2.99
NH-15 (North Bank Brahmaputra),34.4,476.5,3.8,10.5,16.3,35.4,438.2,0.363,10,3,0.2598,0,0.0625,0,0.0,1.93
NH-15 (North Bank Brahmaputra),55.2,1800.0,24.0,138.8,455.5,54.5,1715.5,0.368,2,1,0.9526,1,0.2565,0,0.0,3.95
NH-06 (Guwahati-Shillong),28.6,878.7,28.4,211.2,529.9,36.6,1707.2,0.42,1,4,0.7381,1,0.2508,0,0.0,3.02
NH-37 (Silchar-Imphal),36.8,1150.6,0.4,0.5,0.6,53.5,1307.3,0.713,1,4,0.1987,0,0.0267,0,0.0,1.61
Guwahati-Jalukbari-Khanapara Urban,16.8,1618.1,32.8,184.1,413.6,23.1,276.9,0.234,4,1,0.532,0,0.5834,0,0.0,3.35
NH-37 (Silchar-Imphal),21.4,965.0,4.0,6.7,10.8,26.6,1087.8,0.628,2,4,0.0356,1,0.0288,0,0.0,1.26
NH-27 (East-West Corridor),57.4,454.7,1.5,4.3,6.5,43.0,2470.7,0.596,8,1,0.4524,0,0.0276,0,0.0,2.62
NH-15 (North Bank Brahmaputra),56.5,1041.8,35.4,233.3,480.6,54.5,1067.9,0.724,2,1,0.9471,1,0.3286,0,0.0,4.01
NH-27 (East-West Corridor),15.2,2097.2,3.7,8.9,12.1,48.0,472.3,0.596,2,1,0.0283,0,0.0658,0,0.0,1.73
NH-27 (East-West Corridor),55.9,1537.2,2.6,5.8,7.9,37.1,705.4,0.482,2,3,0.3609,0,0.0408,0,0.0,2.13
Guwahati-Jalukbari-Khanapara Urban,42.5,1592.2,2.3,44.2,207.3,18.4,980.1,0.403,4,4,0.8806,1,0.0381,0,0.0,3.12
NH-15 (North Bank Brahmaputra),52.3,1519.7,0.2,0.6,0.9,29.6,721.6,0.728,0,2,0.2891,0,0.0406,0,0.0,2.13
NH-27 (East-West Corridor),34.6,718.1,0.6,1.1,1.4,18.5,252.2,0.639,2,4,0.1638,0,0.0867,0,0.0,1.6
NH-06 (Guwahati-Shillong),37.2,1123.9,0.1,0.2,0.3,27.5,449.2,0.461,1,2,0.2173,1,0.0604,0,0.0,1.99
NH-15 (North Bank Brahmaputra),36.0,1739.2,0.0,0.0,0.0,25.4,1447.2,0.714,5,5,0.2256,0,0.0232,0,0.0,1.52
NH-27 (East-West Corridor),43.7,537.5,50.9,349.0,750.0,30.5,1731.0,0.47,3,4,0.932,1,0.2503,0,0.0,3.45
Guwahati-Jalukbari-Khanapara Urban,21.0,864.0,8.4,75.4,219.3,48.5,268.2,0.55,3,4,0.5138,0,0.2035,0,0.0,2.48
NH-06 (Guwahati-Shillong),16.3,861.2,17.8,165.7,516.2,21.0,2585.7,0.441,4,3,0.4787,0,0.2311,1,39.2,2.88
Guwahati-Jalukbari-Khanapara Urban,28.2,1149.2,22.9,113.2,242.4,27.2,469.0,0.646,1,2,0.719,0,0.3594,1,59.3,3.83
NH-27 (East-West Corridor),45.3,2163.7,1.8,4.1,4.6,25.4,1018.5,0.371,2,1,0.3439,0,0.0341,0,0.0,2.39
NH-06 (Guwahati-Shillong),23.7,474.9,36.1,262.6,727.4,26.8,1264.9,0.496,3,3,0.6294,0,0.2782,0,0.0,2.96
NH-27 (East-West Corridor),44.0,1309.6,46.4,302.3,750.0,29.4,1486.8,0.432,4,3,0.942,1,0.2676,0,0.0,3.64
NH-06 (Guwahati-Shillong),56.7,681.8,42.4,185.7,549.1,24.8,2481.3,0.597,2,4,0.9347,1,0.2379,0,0.0,3.44
NH-37 (Silchar-Imphal),19.0,2145.8,23.9,123.4,424.6,52.7,450.2,0.62,3,2,0.5336,1,0.4092,0,0.0,3.03
NH-06 (Guwahati-Shillong),43.9,559.6,44.5,310.9,750.0,31.8,1714.4,0.351,2,3,0.9324,1,0.2613,1,51.0,3.99
NH-37 (Silchar-Imphal),34.1,1096.7,24.0,104.0,322.7,19.6,263.0,0.623,4,4,0.8718,1,0.4288,1,75.6,4.06
NH-27 (East-West Corridor),52.3,1715.1,5.9,7.2,12.9,33.7,1126.7,0.284,1,2,0.3603,1,0.0322,0,0.0,2.27
NH-06 (Guwahati-Shillong),22.6,1653.4,8.6,77.8,239.0,22.4,1233.8,0.88,3,4,0.5187,1,0.0707,0,0.0,2.36
Guwahati-Jalukbari-Khanapara Urban,44.8,1132.0,0.2,0.3,0.3,23.6,1055.9,0.458,4,3,0.3492,0,0.0295,0,0.0,2.1
NH-15 (North Bank Brahmaputra),51.0,991.1,2.2,3.0,4.1,26.4,382.6,0.739,6,2,0.3976,0,0.0703,0,0.0,2.39
NH-06 (Guwahati-Shillong),55.6,1085.6,2.1,4.9,7.6,20.0,1801.1,0.586,2,2,0.3468,1,0.0261,0,0.0,2.24
NH-06 (Guwahati-Shillong),44.4,838.9,0.5,0.9,1.2,43.8,298.0,0.594,2,2,0.3212,1,0.0878,0,0.0,2.24
NH-15 (North Bank Brahmaputra),36.4,729.9,2.8,5.9,7.6,46.7,194.1,0.34,1,2,0.2323,0,0.1222,0,0.0,2.08
NH-06 (Guwahati-Shillong),41.6,1243.6,0.2,0.2,0.4,30.8,1161.2,0.702,3,3,0.2873,0,0.0285,0,0.0,1.96
NH-10 (Siliguri-Gangtok),52.4,846.8,37.4,272.0,750.0,42.6,666.2,0.559,4,5,0.9461,1,0.3519,0,0.0,3.43
Guwahati-Jalukbari-Khanapara Urban,39.5,881.8,19.5,118.5,380.5,30.6,1662.9,0.635,4,5,0.9169,1,0.1739,1,28.3,3.4
NH-06 (Guwahati-Shillong),16.3,1565.0,22.9,132.8,437.8,21.6,536.8,0.534,6,2,0.5088,1,0.3729,0,0.0,2.94
NH-06 (Guwahati-Shillong),55.0,2141.8,2.8,3.2,5.3,30.9,297.4,0.573,4,4,0.3773,0,0.0792,0,0.0,2.06
NH-27 (East-West Corridor),44.6,1466.7,46.4,202.2,471.9,37.3,1598.5,0.39,3,5,0.9344,1,0.2448,0,0.0,3.3
NH-15 (North Bank Brahmaputra),44.1,492.4,53.3,298.3,750.0,16.6,786.9,0.522,2,2,0.9282,0,0.3476,0,0.0,3.84
NH-15 (North Bank Brahmaputra),24.3,489.8,0.4,0.8,1.1,41.2,317.8,0.474,3,5,0.0557,0,0.0714,0,0.0,1.19
Guwahati-Jalukbari-Khanapara Urban,43.3,2110.1,78.7,380.0,750.0,44.7,1169.5,0.423,5,5,0.9442,1,0.2705,1,79.0,3.94
NH-06 (Guwahati-Shillong),31.9,900.0,14.3,104.7,376.3,49.4,722.5,0.574,3,4,0.845,1,0.2024,0,0.0,3.21
NH-06 (Guwahati-Shillong),43.0,520.3,3.7,10.7,20.8,19.1,891.7,0.615,3,3,0.3184,1,0.0342,1,14.1,2.14
NH-06 (Guwahati-Shillong),19.6,1458.2,85.0,380.0,750.0,15.0,644.3,0.595,3,3,0.4981,1,0.3722,1,89.5,3.44
NH-37 (Silchar-Imphal),43.3,1503.8,5.8,71.0,230.3,17.9,1561.5,0.532,4,3,0.9244,1,0.0541,0,0.0,3.39
NH-10 (Siliguri-Gangtok),58.0,1549.7,0.5,0.7,0.9,52.0,1565.5,0.624,1,5,0.3128,0,0.0239,0,0.0,1.71
Guwahati-Jalukbari-Khanapara Urban,17.1,844.7,0.9,1.1,1.3,45.6,1138.6,0.594,1,1,0.0269,0,0.0329,0,0.0,1.69
NH-37 (Silchar-Imphal),57.0,378.0,1.3,2.7,5.2,48.4,239.1,0.568,0,5,0.2952,1,0.0907,0,0.0,1.74
NH-06 (Guwahati-Shillong),32.5,2135.3,1.9,3.0,4.7,35.7,1610.4,0.58,2,1,0.1651,1,0.0288,0,0.0,1.99
NH-15 (North Bank Brahmaputra),52.4,814.2,2.2,4.5,8.6,36.1,1039.4,0.763,3,1,0.3765,1,0.0345,0,0.0,2.46
Guwahati-Jalukbari-Khanapara Urban,48.6,1600.6,1.6,2.3,2.6,26.9,1105.3,0.333,5,5,0.3866,0,0.0264,0,0.0,1.88
NH-37 (Silchar-Imphal),39.4,1657.3,0.9,2.3,4.5,48.7,510.8,0.493,2,4,0.2641,0,0.0509,0,0.0,1.78
NH-10 (Siliguri-Gangtok),46.8,1478.5,56.3,301.4,656.8,48.2,1841.4,0.611,2,3,0.9359,1,0.2644,0,0.0,3.62
NH-37 (Silchar-Imphal),52.8,928.9,0.2,0.3,0.3,30.7,1183.9,0.265,2,5,0.3361,1,0.0254,0,0.0,1.76
NH-27 (East-West Corridor),32.4,851.5,1.3,3.4,5.8,28.2,245.6,0.799,4,4,0.1559,0,0.0906,0,0.0,1.58
NH-06 (Guwahati-Shillong),29.1,1455.7,3.0,8.2,14.9,44.5,569.1,0.596,5,5,0.1284,0,0.045,0,0.0,1.33
NH-37 (Silchar-Imphal),43.7,1952.3,0.1,0.4,0.4,16.0,1889.9,0.722,2,3,0.2726,0,0.0239,0,0.0,1.92
NH-15 (North Bank Brahmaputra),49.7,2101.5,2.4,4.1,8.2,49.4,188.7,0.752,3,5,0.3357,1,0.1074,0,0.0,1.84
NH-10 (Siliguri-Gangtok),47.8,545.9,3.4,8.6,14.9,32.8,2753.9,0.624,2,4,0.3211,0,0.0236,0,0.0,1.88
NH-15 (North Bank Brahmaputra),49.3,636.4,2.2,3.2,4.4,32.7,1059.5,0.148,1,5,0.3195,0,0.0274,0,0.0,1.73
NH-15 (North Bank Brahmaputra),33.7,2097.8,20.0,129.8,420.3,41.8,948.4,0.577,1,2,0.8572,1,0.2686,1,35.3,3.87
NH-06 (Guwahati-Shillong),50.2,1712.6,46.5,306.9,750.0,40.8,402.4,0.588,2,3,0.9383,1,0.488,0,0.0,3.85
NH-27 (East-West Corridor),20.2,1983.5,0.8,2.1,2.7,25.6,378.9,0.354,4,4,0.0403,0,0.0635,0,0.0,1.3
NH-15 (North Bank Brahmaputra),38.4,724.9,0.5,0.8,1.2,52.7,2428.7,0.228,2,3,0.2797,1,0.0249,0,0.0,1.94
NH-27 (East-West Corridor),15.2,1437.0,68.5,287.5,750.0,54.5,433.4,0.633,2,4,0.4181,0,0.4635,0,0.0,2.53
NH-37 (Silchar-Imphal),29.0,1647.1,20.4,184.2,433.8,36.0,1345.1,0.325,3,5,0.7807,1,0.2475,0,0.0,2.96
NH-06 (Guwahati-Shillong),30.8,1608.2,0.7,1.0,1.5,37.5,549.5,0.88,2,4,0.1078,0,0.0467,0,0.0,1.43
NH-37 (Silchar-Imphal),32.0,1105.1,16.3,111.0,333.6,37.2,270.0,0.597,2,2,0.8388,0,0.4402,0,0.0,3.73
NH-27 (East-West Corridor),44.9,378.5,65.6,380.0,750.0,34.4,158.6,0.793,0,1,0.9178,1,0.6877,1,139.7,4.97
Guwahati-Jalukbari-Khanapara Urban,31.7,1428.4,0.7,2.0,2.6,52.8,778.7,0.556,1,2,0.1413,0,0.0401,0,0.0,1.8
NH-37 (Silchar-Imphal),34.3,818.2,12.5,84.4,239.8,24.8,3126.4,0.685,4,4,0.8652,1,0.0806,0,0.0,3.13
Guwahati-Jalukbari-Khanapara Urban,25.2,1183.0,5.7,38.8,190.9,19.3,518.5,0.56,2,1,0.4363,1,0.072,0,0.0,2.63
NH-06 (Guwahati-Shillong),31.0,2121.5,19.7,128.5,440.8,52.2,503.5,0.731,2,2,0.8231,1,0.3817,0,0.0,3.64
NH-27 (East-West Corridor),24.8,1088.2,1.5,1.7,3.3,23.5,487.4,0.183,1,2,0.0587,0,0.0564,0,0.0,1.63
NH-37 (Silchar-Imphal),18.1,1903.6,4.5,5.4,10.7,45.0,738.1,0.71,1,4,0.025,0,0.0383,0,0.0,1.24
NH-37 (Silchar-Imphal),40.9,698.8,0.9,1.5,2.9,23.2,614.8,0.67,3,1,0.2992,1,0.0484,0,0.0,2.31
NH-37 (Silchar-Imphal),43.7,1594.1,3.9,6.6,9.9,53.4,1845.6,0.522,1,1,0.3282,0,0.0295,0,0.0,2.35
NH-06 (Guwahati-Shillong),41.6,2157.5,16.6,120.0,287.4,46.6,713.4,0.476,2,3,0.9264,1,0.2682,0,0.0,3.6
NH-15 (North Bank Brahmaputra),34.9,538.5,10.7,96.2,266.7,51.7,717.0,0.496,1,2,0.8762,1,0.1749,0,0.0,3.55
NH-15 (North Bank Brahmaputra),31.3,365.4,55.3,234.9,685.2,53.0,269.1,0.601,3,2,0.8488,0,0.5944,1,115.5,4.58
NH-06 (Guwahati-Shillong),52.1,1152.1,29.6,156.1,475.1,18.4,3397.5,0.769,3,2,0.9395,1,0.243,0,0.0,3.76
NH-15 (North Bank Brahmaputra),37.3,521.4,3.0,5.2,5.7,32.3,380.1,0.454,3,3,0.2561,0,0.0686,1,5.0,1.97
NH-15 (North Bank Brahmaputra),35.6,1734.5,29.0,214.3,674.6,40.9,211.0,0.244,3,1,0.9137,1,0.645,1,113.5,4.92
NH-10 (Siliguri-Gangtok),16.1,2041.9,7.7,81.5,303.5,47.1,1020.5,0.88,3,5,0.4052,1,0.0809,0,0.0,1.97
NH-15 (North Bank Brahmaputra),29.7,1152.9,0.7,1.4,2.0,24.7,873.8,0.671,6,2,0.1368,0,0.0352,0,0.0,1.79
NH-37 (Silchar-Imphal),31.3,828.6,15.9,101.9,347.3,51.6,579.1,0.48,7,5,0.8589,1,0.2239,0,0.0,3.11
NH-06 (Guwahati-Shillong),32.1,1153.6,4.0,8.0,14.7,23.8,588.8,0.764,3,4,0.1442,0,0.0447,0,0.0,1.51
NH-27 (East-West Corridor),39.9,1688.4,11.2,107.6,296.9,49.6,1379.9,0.718,2,4,0.9099,1,0.1424,0,0.0,3.29
NH-06 (Guwahati-Shillong),37.9,366.8,1.0,2.8,5.4,35.5,324.2,0.639,4,2,0.2831,1,0.0815,0,0.0,2.15
NH-06 (Guwahati-Shillong),41.1,1440.5,3.7,7.2,10.9,35.6,1523.0,0.464,3,4,0.3044,1,0.0255,0,0.0,1.84
NH-37 (Silchar-Imphal),47.9,1484.6,13.8,99.6,253.6,30.0,987.0,0.67,7,4,0.9438,1,0.1476,0,0.0,3.37
Guwahati-Jalukbari-Khanapara Urban,50.0,1529.7,10.4,94.0,342.0,19.1,584.4,0.746,3,3,0.9349,1,0.1746,0,0.0,3.53
NH-27 (East-West Corridor),45.9,797.7,0.5,1.1,2.0,28.9,640.0,0.24,4,3,0.3805,1,0.0426,0,0.0,2.18
Guwahati-Jalukbari-Khanapara Urban,56.1,1671.0,0.7,1.5,2.9,32.1,387.3,0.59,1,2,0.3302,0,0.0695,0,0.0,2.25
NH-10 (Siliguri-Gangtok),15.8,519.1,1.4,3.4,4.3,34.2,1265.8,0.604,2,3,0.024,0,0.0279,0,0.0,1.38
NH-37 (Silchar-Imphal),23.4,718.7,10.8,103.1,328.7,44.6,725.4,0.598,4,2,0.6617,0,0.1952,0,0.0,3.1
NH-15 (North Bank Brahmaputra),15.3,1973.3,14.5,110.7,252.1,29.1,459.5,0.558,3,5,0.4065,0,0.2799,0,0.0,2.17
Guwahati-Jalukbari-Khanapara Urban,42.8,1716.6,18.7,156.8,356.1,31.3,875.2,0.763,0,4,0.8989,1,0.2862,0,0.0,3.41
NH-06 (Guwahati-Shillong),53.6,375.4,0.8,1.0,1.8,51.2,4515.7,0.512,4,1,0.4322,1,0.0273,0,0.0,2.58
NH-06 (Guwahati-Shillong),25.5,809.5,30.1,155.9,472.9,45.1,607.1,0.549,2,3,0.6736,1,0.3804,0,0.0,3.16
NH-10 (Siliguri-Gangtok),54.9,746.7,2.9,3.8,4.3,15.9,2177.5,0.607,1,3,0.3052,1,0.024,0,0.0,2.0
NH-10 (Siliguri-Gangtok),17.6,851.0,8.3,63.6,213.9,47.5,488.5,0.518,3,1,0.4462,1,0.119,0,0.0,2.7
NH-27 (East-West Corridor),55.2,808.0,1.4,3.0,5.5,54.6,195.0,0.301,3,4,0.3989,0,0.1105,0,0.0,2.14
NH-27 (East-West Corridor),30.1,465.7,2.1,3.6,5.7,52.6,332.8,0.589,2,2,0.1276,0,0.0826,0,0.0,1.81
NH-37 (Silchar-Imphal),19.4,1199.0,22.8,162.2,466.3,48.4,584.0,0.591,4,3,0.5517,1,0.3869,0,0.0,2.9
NH-10 (Siliguri-Gangtok),35.9,1705.6,2.5,5.4,10.4,40.2,348.4,0.484,4,3,0.2564,0,0.0747,0,0.0,1.94
NH-37 (Silchar-Imphal),26.0,1472.5,32.2,170.2,453.6,26.1,150.2,0.526,1,3,0.6541,0,0.6596,0,0.0,3.39
Guwahati-Jalukbari-Khanapara Urban,27.2,1594.8,28.8,180.5,615.1,41.2,2122.1,0.08,4,3,0.7904,0,0.2521,0,0.0,3.29
NH-27 (East-West Corridor),28.2,500.1,9.1,23.7,33.6,42.8,1635.7,0.768,5,4,0.1371,0,0.0292,0,0.0,1.48
NH-37 (Silchar-Imphal),49.5,2110.3,1.3,2.7,5.1,26.3,1234.7,0.712,9,2,0.3949,0,0.0293,0,0.0,2.35
NH-10 (Siliguri-Gangtok),38.2,1901.2,9.4,95.3,283.5,25.2,297.0,0.309,3,3,0.9146,1,0.2826,1,36.8,3.87
Guwahati-Jalukbari-Khanapara Urban,28.4,1839.4,9.0,66.2,195.8,30.9,252.6,0.428,4,4,0.716,1,0.1776,0,0.0,2.9
NH-27 (East-West Corridor),41.2,1872.5,1.2,2.0,3.9,40.6,206.0,0.811,4,2,0.3184,1,0.1144,0,0.0,2.26
NH-37 (Silchar-Imphal),45.8,2075.5,0.8,1.2,2.1,26.7,1180.0,0.342,5,1,0.4173,1,0.0313,0,0.0,2.55
NH-15 (North Bank Brahmaputra),26.7,1356.9,11.8,96.4,295.7,37.2,2263.9,0.636,6,4,0.744,0,0.1052,0,0.0,2.89
NH-10 (Siliguri-Gangtok),32.8,720.5,29.1,133.5,341.7,51.0,600.4,0.461,6,3,0.8911,1,0.3641,1,68.3,4.13
NH-37 (Silchar-Imphal),20.2,1491.0,0.2,0.4,0.6,26.8,251.5,0.624,6,4,0.0406,0,0.0878,0,0.0,1.33
NH-27 (East-West Corridor),22.8,1724.3,0.1,0.2,0.2,53.6,724.6,0.559,3,2,0.0545,0,0.0422,0,0.0,1.61
Guwahati-Jalukbari-Khanapara Urban,44.3,1715.1,47.5,220.2,588.9,33.9,493.2,0.499,4,4,0.9396,1,0.4242,1,79.3,4.23
NH-06 (Guwahati-Shillong),22.8,1314.7,19.1,129.6,457.4,19.0,525.8,0.62,6,1,0.6558,1,0.3715,0,0.0,3.41
